"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"NPL"	445.1996129	"Nepal"	24360795410.64	33433670511.94	27015033	29136808	1147.47197125849	0
"NRU"		"Nauru"	86529661.37	114626625.55	10374	10834	10580.2681881115	0
"NZL"	3389.851485	"New Zealand"	178064471137.92	211734532308.01	4609400	5090200	41596.5055023398	1
"OMN"	5783.615085	"Oman"	78710793237.97	73971391417.43	4267341	5106622	14485.3861157983	1
"PAK"	11304.82985	"Pakistan"	270556131701.17	300306331697.67	199426953	220892331	1359.51452156875	0
"PAN"	0	"Panama"	54091713800	53977037000	3968490	4314768	12509.8352912602	0
"PER"	2360.613146	"Peru"	189805300841.6	201705055938.65	30470739	32971846	6117.49357129261	0
"PHL"	4090.523773	"Philippines"	306446140628.71	361751116292.54	102113206	109581085	3301.21860257671	0
"PLW"		"Palau"	280457700	257700000	17665	18092	14243.8646915764	1
"PNG"	88.72420808	"Papua New Guinea"	21723531173.24	24667052023.12	8107772	8947027	2757.01101864563	0
"POL"	13710.67911	"Poland"	477811911394.08	596624355719.67	37986412	37899070	15742.4537256368	1
"PRI"		"Puerto Rico"	103375500000	103138300000	3473232	3281538	31429.8661176558	1
"PRK"		"Korea, Dem. Peoples Rep."			25183832	25778815		
"PRT"	4908.940397	"Portugal"	199394066525.44	228539245045.34	10358076	10297081	22194.5661149349	1
"PRY"	372.6013693	"Paraguay"	36211372702.81	35432178068.18	6688746	7132530	4967.6872117159	0
"PSE"		"West Bank and Gaza"	13972400000	15531700000	4270092	4803269	3233.56863835858	0
"PYF"		"French Polynesia"	5325848045.43	5669368717.21	273119	280904	20182.5845029263	1
"QAT"	11593.40659	"Qatar"	161739955577.75	144411363345.27	2565708	2881060	50124.3859361728	1
"ROU"	5563.282002	"Romania"	177729210874.5	249511333647.5	19815616	19257520	12956.5662477567	1
"RUS"	65907.70505	"Russian Federation"	1363481063446.77	1488321875489.74	144096870	144073139	10330.3217089602	0
"RWA"	164.0160578	"Rwanda"	8539424910.08	10184345442.17	11369066	12952209	786.301814784644	0
"SAU"	55564.26667	"Saudi Arabia"	654269739552.02	703367841222.56	31717676	34813867	20203.6688777653	1
"SDN"	375.2126194	"Sudan"	84985132167.22	26987563444.15	38902948	43849269	615.462105973762	0
"SEN"	473.9719309	"Senegal"	17774766636.05	24493157583.23	14578450	16743930	1462.80816888449	0
"SGP"	11115.32018	"Singapore"	308004146057.61	345295933898.67	5535002	5685807	60729.4503486787	1
"SLB"		"Solomon Islands"	1307082934.29	1545888426.23	603133	686878	2250.60116386025	0
"SLE"	27.2694027	"Sierra Leone"	4218723875.14	4063289449.59	7171909	7976985	509.376593987578	0
"SLV"	382.6	"El Salvador"	23438240000	24638720000	6325121	6486201	3798.63652082321	0
"SMR"		"San Marino"	1419394763.12	1544713784.68	33270	33938	45515.7576957982	1
"SOM"	113.54	"Somalia"	5331761394.25	6965285324.52	13797204	15893219	438.255165584769	0
"SRB"	1270.783747	"Serbia"	39655958842.55	53335016425.41	7095383	6899126	7730.69174637628	0
"SSD"	170.3763381	"South Sudan"	11997800760.22		10715657	11193729		
"STP"		"Sao Tome and Principe"	316066072.34	472914469.92	199439	219161	2157.84044569974	0
"SUN"								
"SUR"		"Suriname"	5126291450.82	2884248048.49	559136	586634	4916.60566637801	0
"SVK"	1983.20719	"Slovak Republic"	88636928904.64	105172564491.57	5423801	5458827	19266.5135736249	1
"SVN"	734.3897824	"Slovenia"	43107506024.33	53589609580.71	2063531	2102419	25489.5002284083	1
"SWE"	7887.360075	"Sweden"	505103781349.76	541487151474.56	9799186	10353442	52300.2061994996	1
"SWZ"	81.05670975	"Eswatini"	4063245671.29	3984840580.41	1104038	1160164	3434.7217983061	0
