"iso3"	"milex_usd_1983"	"milex_usd_1984"	"milex_usd_1985"	"milex_usd_1986"	"milex_usd_1987"	"milex_usd_1988"	"milex_usd_1989"	"milex_usd_1990"	"milex_usd_1991"	"milex_usd_1992"	"milex_usd_1993"	"milex_usd_1994"	"milex_usd_1995"	"milex_usd_1996"	"milex_usd_1997"	"milex_usd_1998"	"milex_usd_1999"	"milex_usd_2000"	"milex_usd_2001"	"milex_usd_2002"	"milex_usd_2003"	"milex_usd_2004"	"milex_usd_2005"	"milex_usd_2006"	"milex_usd_2007"	"milex_usd_2008"	"milex_usd_2009"	"milex_usd_2010"	"milex_usd_2011"	"milex_usd_2012"	"milex_usd_2013"	"milex_usd_2014"	"milex_usd_2015"	"milex_usd_2016"	"milex_usd_2017"	"milex_usd_2018"	"milex_usd_2019"	"milex_usd_2020"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"CRI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Costa Rica"	56441917652.98	62158002233.03	4847805	5094114	12201.926033267	0
"CUB"	0	0	0	0	0	0	0	0	0		0										296.9339623	62.04761905	78.55714286	76.58744395	83.36563877	89.05726872	92.46255507	94.27753304	93.74449339	126.8722467	119.3832599	125.6387665	118.3700441	123.6589474	122.552919	128.609127				"Cuba"	8.7133e+10	1.07352e+11	11324777	11326616	9477.85287326771	0
"CUW"																																								"Curacao"	3042737430.17	2496174735.65	157980	154947	16109.8616665699	1
"CYM"																																								"Cayman Islands"	4708336756.09	5608989195.53	61721	65720	85346.761952678	1
"CYP"			30.73733291	48.72924432	199.5007311	243.8158644	244.9956633	411.4090633	418.3873687	630.127106	268.2772716	298.4691269	298.8333855	448.0759093	534.1411887	483.7486451	289.970367	281.1603743	327.6271603	242.483491	288.4276058	338.4745663	380.8750288	387.703672	405.1763685	453.8030542	471.3527811	477.5874286	479.7353184	414.4963214	384.925361	357.8068226	327.89176	295.35501	359.061651	450.4089799	463.6139722	483.4150234	517.5023652	"Cyprus"	19842404304.89	24692095945.17	1160987	1207361	20451.2949690855	1
"CZE"											815.5854669	938.2527766	1065.352459	1123.923831	988.3243318	1166.099773	1205.93187	1157.294085	1182.519922	1494.390397	1885.706689	2042.085931	2439.538514	2449.96371	2707.677752	2918.695853	2718.559513	2497.902955	2474.313259	2220.610395	2148.784401	2022.883295	1779.887189	1954.935	2077.722061	2710.017583	2910.252497	3252.505062	3935.630965	"Czechia"	188033050459.88	245339322066.76	10546059	10697858	22933.4995909237	1
"DEU"	20828.2129	18943.60998	18752.46333	26065.36727	32131.49692	33036.66727	31631.60514	39834.66688	37196.72973	39502.45227	35030.53759	34197.70564	38742.6991	36701.18977	31267.7104	31200.76808	30690.15843	26497.59316	25815.40196	27611.35567	32997.36302	35776.57389	30324.96518	35883.65797	40110.85928	45098.95631	44528.92784	43025.91501	45163.21288	43798.22535	44242.6473	44662.83117	38170.02107	39855.04731	42210.25809	46423.0209	49007.51232	53210.98826	56017.02933	"Germany"	3357585719351.56	3846413928653.71	81686611	83160871	46252.6893044892	1
"DJI"	30.90236944	31.13306812	31.39190079	30.6041492	30.81796749	31.05991976	31.08805375	31.11618773	31.77452299	33.62573922	31.06554656	30.71105834	29.60820612	24.52720838	26.55285532	26.70477884	26.77905256	26.02506175	26.04813162	33.25099454	41.76377581	37.35574299	44.84726059	49.51581411	34.51871191	36.27483528														"Djibouti"	2424391785.44	3181071153.66	913998	988002	3219.70112779124	0
"DMA"																																								"Dominica"	540737037.04	504214814.81	71175	71991	7003.85902140545	0
"DNK"	1374.960497	1259.583261	1259.29561	1647.882398	2141.274092	2320.42344	2183.66716	2649.889473	2671.946671	2837.745377	2682.011246	2718.790042	3117.966146	3086.224945	2804.317083	2846.065338	2784.881254	2392.510831	2525.225825	2694.082493	3199.158428	3578.83246	3468.45292	3896.730668	4175.652589	4788.030121	4337.35569	4503.492127	4518.590127	4422.458084	4216.647585	4056.861511	3364.047774	3592.727944	3764.033344	4558.690187	4556.755136	4980.428135	5391.221374	"Denmark"	302673070846.86	356084867685.64	5683483	5831404	61063.316430424	1
"DOM"	126	139	61.0420194	82.29092424	59.32750029	47.29636876	53.51735016	47.79890444	33.89429895	63.12724084	95.99394121	100.9566797	84.44996838	107.0012922	150.6641898	159.0530963	175.0004678	246.8108437	305.900328	271.6633172	155.8024956	152.8784668	272.2004811	259.2403251	274.7756808	333.5388816	320.8552892	354.8567814	348.5598301	396.1871786	383.3802541	437.5724658	458.0071575	479.7221728	533.0731578	593.6787221	613.2990233	599.0525254	581.6194247	"Dominican Republic"	71164825256.68	78844702329.08	10281675	10847904	7268.19690965923	0
