Id,Label,timeset,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
polishgirl70,polishgirl70,,0,3,3,0,1,1,1,0,47
ritesh_bfc,ritesh_bfc,,0,2,2,0,1,1,1,0,45
oxluckymecityxs,oxluckymecityxs,,0,2,2,0,1,1,1,0,0
concombre20,concombre20,,0,1,1,0,1,1,1,0,88
nestrickthomas,nestrickthomas,,0,1,1,0,1,1,1,0,1
dianafararara,dianafararara,,0,1,1,0,1,1,1,0,1
makeengineear,makeengineear,,1,2,3,0.002748,1,1,1,0,0
cerebralriftorg,cerebralriftorg,,1,1,2,0.002748,0,0,0,0,250
shraddhanajan,shraddhanajan,,0,1,1,0,1,1,1,0,251
theahmadmalik_,theahmadmalik_,,1,0,1,0.000989,0,0,0,0,251
chris_howell33,chris_howell33,,0,1,1,0,1,1,1,0,4
lilrebelart,lilrebelart,,1,1,2,0.002748,0,0,0,0,252
handfhome,handfhome,,0,1,1,0,1,1,1,0,4
gayjameslindsay,gayjameslindsay,,1,1,2,0.002748,0,0,0,0,253
deborahalcorn,deborahalcorn,,0,1,1,0,1,1,1,0,254
thubertusnvet,thubertusnvet,,1,0,1,0.000989,0,0,0,0,254
tiagocatrola77,tiagocatrola77,,1,2,3,0.002748,1,1,1,0,0
dleeb1955,dleeb1955,,0,1,1,0,1,1,1,0,213
bratty_brownie,bratty_brownie,,0,1,1,0,1,1,1,0,1
ds41744,ds41744,,0,1,1,0,1,1,1,0,1
emermartin,emermartin,,0,1,1,0,1,1,1,0,1
picktbzwins,picktbzwins,,0,2,2,0,1,1,1,0,0
