iso3	interview_id	q86
SGP	702070541	2
SGP	702070542	2
SGP	702070547	2
SGP	702070548	4
SGP	702070552	3
SGP	702070553	2
SGP	702070554	2
SGP	702070555	1
SGP	702070556	2
SGP	702070559	4
SGP	702070561	2
SGP	702070565	2
SGP	702070567	3
SGP	702070568	2
SGP	702070571	3
SGP	702070572	2
SGP	702070573	4
SGP	702070576	3
SGP	702070580	3
SGP	702070582	2
SGP	702070584	2
SGP	702070585	2
SGP	702070586	3
SGP	702070587	2
SGP	702070588	2
SGP	702070590	2
SGP	702070591	3
SGP	702070592	2
SGP	702070593	3
SGP	702070594	2
SGP	702070596	3
SGP	702070597	3
SGP	702070599	3
SGP	702070600	3
SGP	702070601	4
SGP	702070602	3
SGP	702070603	2
SGP	702070605	3
SGP	702070606	2
SGP	702070607	3
SGP	702070608	2
SGP	702070609	3
SGP	702070612	2
SGP	702070614	2
SGP	702070615	3
SGP	702070616	4
SGP	702070617	3
SGP	702070618	3
SGP	702070620	3
SGP	702070622	3
SGP	702070625	3
SGP	702070626	3
SGP	702070630	4
SGP	702070632	3
SGP	702070641	2
SGP	702070644	2
SGP	702070646	4
SGP	702070647	3
SGP	702070648	4
SGP	702070650	3
SGP	702070651	4
SGP	702070652	3
SGP	702070653	3
SGP	702070654	3
SGP	702070659	3
SGP	702070669	2
SGP	702070670	3
SGP	702070671	4
SGP	702070672	4
SGP	702070677	3
SGP	702070688	3
SGP	702070689	3
SGP	702070690	3
SGP	702070691	4
SGP	702070692	4
SGP	702070695	3
SGP	702070696	3
SGP	702070697	2
SGP	702070700	3
SGP	702070703	3
SGP	702070705	2
SGP	702070706	3
SGP	702070707	3
SGP	702070708	3
SGP	702070710	2
SGP	702070711	3
SGP	702070713	3
SGP	702070714	2
SGP	702070715	1
SGP	702070716	2
SGP	702070724	2
SGP	702070725	3
SGP	702070726	3
SGP	702070728	2
SGP	702070729	2
SGP	702070730	4
SGP	702070732	2
SGP	702070733	2
SGP	702070734	2
SGP	702070735	3
SGP	702070736	3
SGP	702070737	1
SGP	702070738	2
SGP	702070739	3
SGP	702070740	3
SGP	702070741	2
SGP	702070742	3
SGP	702070744	4
SGP	702070746	3
SGP	702070747	3
SGP	702070748	3
SGP	702070751	3
SGP	702070752	2
SGP	702070753	3
SGP	702070754	3
SGP	702070755	3
SGP	702070756	3
